Warranty,Category,BRAND,DETAILS, ,VAT-EX (SPCL),VAT-EX (RESELLER),VAT-INC (SRP),CURRENT BUL stocks,image_url
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - ARGB LE520 WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - ARGB LE520 WHITE,"₱3,400","₱3,380.00","₱3,808.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - ARGB LE520 WHITE.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LS520 SE DIGITAL BLACK,AIO - DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL BLACK,"₱4,400","₱4,380.00","₱4,928.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL BLACK.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LS520 SE DIGITAL WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL WHITE,"₱4,700","₱4,680.00","₱5,264.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LS520 SE DIGITAL WHITE.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LT520 BLACK,AIO - DEEPCOOL LIQUID COOLER AIO - LT520 BLACK,"₱4,650","₱4,630.00","₱5,208.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LT520 BLACK.png
10MOS,AIO,DEEPCOOL,LIQUID COOLER AIO - LT520 WHITE,AIO - DEEPCOOL LIQUID COOLER AIO - LT520 WHITE,"₱4,750","₱4,730.00","₱5,320.00",1,/images/components/cooler/DEEPCOOL LIQUID COOLER AIO - LT520 WHITE.png
10MOS,AIO,THERMALRIGHT,LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK,AIO - THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK,"₱4,000","₱3,980.00","₱4,480.00",1,/images/components/cooler/THERMALRIGHT LIQUID COOLER FROZEN WARFRAME 240 ARGB BLACK.png
10MOS,AIO,YGT,LIQUID COOLER AIO - DF-120 PINK,AIO - YGT LIQUID COOLER AIO - DF-120 PINK,"₱1,650","₱1,630.00","₱1,848.00",0,/images/components/cooler/YGT LIQUID COOLER AIO - DF-120 PINK.png
10MOS,AIO,YGT,LIQUID COOLER AIO - DF-120 WHITE,AIO - YGT LIQUID COOLER AIO - DF-120 WHITE,"₱1,650","₱1,630.00","₱1,848.00",1,/images/components/cooler/YGT LIQUID COOLER AIO - DF-120 WHITE.png
10MOS,AIO,OVATION,HURRICANE 240 BLACK TEMP,AIO - OVATION HURRICANE 240 BLACK TEMP,"₱2,815","₱2,765.00","₱3,152.80",1,/images/components/cooler/OVATION HURRICANE 240 BLACK TEMP.png
10MOS,AIO,OVATION,HURRICANE 240 WHITE TEMP,AIO - OVATION HURRICANE 240 WHITE TEMP,"₱2,920","₱2,900.00","₱3,270.40",1,/images/components/cooler/OVATION HURRICANE 240 WHITE TEMP.png
